Datetime,eur,nok,sek,cny,jpy
2026-07-06 00:00:00+01:00,1.1440337896347046,9.814689636230469,9.634559631347656,,161.42100524902344
2026-07-06 00:01:00+01:00,1.1440337896347046,9.813639640808104,9.625320434570312,,161.41299438476562
2026-07-06 00:02:00+01:00,1.1440337896347046,9.811140060424805,9.634650230407717,,161.4600067138672
2026-07-06 00:03:00+01:00,1.1439030170440674,9.82406997680664,9.633509635925291,,161.4499969482422
2026-07-06 00:04:00+01:00,1.1439030170440674,9.822469711303713,9.634289741516112,,161.468994140625
2026-07-06 00:05:00+01:00,1.1437721252441406,9.82820987701416,9.637140274047852,,161.4530029296875
2026-07-06 00:06:00+01:00,1.1437721252441406,9.825220108032228,9.633769989013672,6.779200077056885,161.45799255371094
2026-07-06 00:07:00+01:00,1.1437721252441406,9.829910278320312,9.632559776306152,,161.46800231933594
2026-07-06 00:08:00+01:00,1.1437721252441406,9.827659606933594,9.634119987487791,,161.45700073242188
2026-07-06 00:09:00+01:00,1.1437721252441406,9.816789627075195,9.63541030883789,,161.45799255371094
2026-07-06 00:10:00+01:00,1.1436413526535034,9.823419570922852,9.636420249938965,,161.447998046875
2026-07-06 00:11:00+01:00,1.1437721252441406,9.824660301208496,9.63778018951416,,161.4530029296875
2026-07-06 00:12:00+01:00,1.1437721252441406,9.823060035705566,9.631939888000488,6.770199775695801,161.4600067138672
2026-07-06 00:13:00+01:00,1.1437721252441406,9.82643985748291,9.641289710998535,,161.468994140625
2026-07-06 00:14:00+01:00,1.1437721252441406,9.825909614562988,9.638970375061035,,161.46099853515625
2026-07-06 00:15:00+01:00,1.1437721252441406,9.8270902633667,9.640250205993652,,161.46299743652344
2026-07-06 00:16:00+01:00,1.1436413526535034,9.829139709472656,9.64109992980957,,161.468994140625
2026-07-06 00:17:00+01:00,1.1437721252441406,9.83135986328125,9.64089012145996,,161.46400451660156
2026-07-06 00:18:00+01:00,1.1437721252441406,9.831000328063965,9.63465976715088,,161.47799682617188
2026-07-06 00:19:00+01:00,1.1436413526535034,9.83156967163086,9.639960289001465,,161.48399353027344
2026-07-06 00:20:00+01:00,1.1437721252441406,9.834110260009766,9.633600234985352,,161.4770050048828
2026-07-06 00:21:00+01:00,1.1437721252441406,9.832110404968262,9.633600234985352,,161.48500061035156
2026-07-06 00:22:00+01:00,1.1437721252441406,9.831509590148926,9.633700370788574,,161.48300170898438
2026-07-06 00:23:00+01:00,1.1437721252441406,9.833279609680176,9.633700370788574,,161.48199462890625
2026-07-06 00:24:00+01:00,1.1439030170440674,9.83218002319336,9.639389991760254,,161.49899291992188
2026-07-06 00:25:00+01:00,1.1437721252441406,9.832799911499023,9.633700370788574,,161.4949951171875
2026-07-06 00:26:00+01:00,1.1437721252441406,9.834380149841309,9.634940147399902,,161.48899841308594
2026-07-06 00:27:00+01:00,1.1439030170440674,9.833040237426758,9.63988971710205,,161.46299743652344
2026-07-06 00:28:00+01:00,1.1440337896347046,9.830289840698242,9.63465976715088,,161.44700622558594
2026-07-06 00:29:00+01:00,1.1439030170440674,9.831560134887695,9.632740020751951,,161.46200561523438
2026-07-06 00:30:00+01:00,1.1439030170440674,9.832019805908203,9.640990257263184,,161.46299743652344
2026-07-06 00:31:00+01:00,1.1439030170440674,9.832019805908203,9.632740020751951,,161.46099853515625
2026-07-06 00:32:00+01:00,1.1440337896347046,9.831119537353516,9.64052963256836,,161.45399475097656
